label,nodeType,order,path,price,description,link,imageLink,Swiggy
Toastizza,ProductClass,1,"Inventory,Food,Cafe,",,,https://drive.google.com/file/d/1fztkGTmkBUc8RqNauwjEgq5Kkzt189Mj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Toastizza.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Toastizza,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Toastizza,",,,,,
Chilli Cheese Toastizza,ProductType,4,"Inventory,Food,Cafe,Toastizza,Vegeterian,",110,,https://drive.google.com/file/d/1j0RSJgYYylye6BTkSg8COyRosPQ-JvL4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/ChilliCheeseToastizza.jpg,
Spicy Toastizza,ProductType,5,"Inventory,Food,Cafe,Toastizza,Vegeterian,",110,,https://drive.google.com/file/d/1_3MRW37k_1zGFVx8ZkSa_b8VLZJBZIsC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/SpicyToastizza.jpg,
Tomato Toastizza,ProductType,6,"Inventory,Food,Cafe,Toastizza,Vegeterian,",110,,,,
Crunchy Toastizza,ProductType,7,"Inventory,Food,Cafe,Toastizza,Vegeterian,",110,,,,
Garlic Toastizza,ProductType,8,"Inventory,Food,Cafe,Toastizza,Vegeterian,",110,,https://drive.google.com/file/d/1MWGvMBbhaVARhOpb5JWP-0H4k6RnFARH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/garlictoastizza.jpg,
Burger,ProductClass,1,"Inventory,Food,Cafe,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Burger.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Burger,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Burger,",,,,,
Veg Burger,ProductType,4,"Inventory,Food,Cafe,Burger,Vegeterian,",60,,https://drive.google.com/file/d/1d4T4ocGTOibUjikI_CZrc4fkIRChDq8d/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Burger.jpg,70
Veg Cheese Burger,ProductType,5,"Inventory,Food,Cafe,Burger,Vegeterian,",75,,https://drive.google.com/file/d/1BRIGvcNMtmyGxtykXr10OQnq4woHNBxu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegCheeseBurger.jpg,85
Cheese Paneer Burger,ProductType,6,"Inventory,Food,Cafe,Burger,Vegeterian,",85,,https://drive.google.com/file/d/1jjJCVlVZQ4CARh6RNd6sM2Cm9xMTMez3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/CheesePaneerBurger.jpg,95
Spinach and Corn Burger,ProductType,7,"Inventory,Food,Cafe,Burger,Vegeterian,",75,,https://drive.google.com/file/d/1NGJcvYiDLd7m74V2OAMvrizkzsDNHYoo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/SpinachCornBurger.jpg,85
Mushroom Burger,ProductType,8,"Inventory,Food,Cafe,Burger,Vegeterian,",85,,https://drive.google.com/file/d/1Dn3FUf_eRTPVv3TjxEaXSAPyJdLVjOfX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/MushroomBurger.jpg,95
Double Patty Burger,ProductType,9,"Inventory,Food,Cafe,Burger,Vegeterian,",90,,https://drive.google.com/file/d/1pPYlf_GUt6idINcl0Ho76F_RoR6ErRIP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/DoublePattyBurger.jpg,110
Double Patty Cheese Burger,ProductType,10,"Inventory,Food,Cafe,Burger,Vegeterian,",110,,https://drive.google.com/file/d/1WlbSr1Lz0sg9YantnBwg9V4hqmYQrszZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/DoublePattyCheeseBurger.jpg,125
Garlic Cheese Burger,ProductType,11,"Inventory,Food,Cafe,Burger,Vegeterian,",85,,,,95
Zaika Burger,ProductType,12,"Inventory,Food,Cafe,Burger,Vegeterian,",85,,https://drive.google.com/file/d/1mkrggf9Wsuh3MS-v8SeKKXLc1iwQV3aG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/ZaikaBurger.jpg,
Masala Burgers,ProductType,13,"Inventory,Food,Cafe,Burger,Vegeterian,",75,,https://drive.google.com/file/d/1cboTD31ydGIoVIeRPNJJ63nmAEFDr6M6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/masalaburge.jpeg,85
Masala Mushroom Burger,ProductType,14,"Inventory,Food,Cafe,Burger,Vegeterian,",95,,https://drive.google.com/file/d/1JAGuNZFEMwPGEx0QIx2PbsjfrhJkdTcd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/MasalaMushroomBurger.jpg,110
Masala Double Patty Burger,ProductType,15,"Inventory,Food,Cafe,Burger,Vegeterian,",110,,https://drive.google.com/file/d/1ySIdLFdy1HKDojicsERk3eH8uzKZm7OG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/MasalaDoublePattyBurger.jpg,125
Pizza,ProductClass,1,"Inventory,Food,Cafe,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1/pizza.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Pizza,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Pizza,",,,,,
Mushroom Delight Pizza,ProductType,4,"Inventory,Food,Cafe,Pizza,Vegeterian,",170,,https://drive.google.com/file/d/1vVyvB4TE8npYkpbrI7unauQt_TlkJWfY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/MushroomDelightPizza.jpg,
Veg Farm House Pizza,ProductType,5,"Inventory,Food,Cafe,Pizza,Vegeterian,",155,,https://drive.google.com/file/d/1GdUITgUmbK-qBGFXKxBHne-mtBznCoWh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/VegFarmHousePizza.jpg,
Corn Delight Pizza,ProductType,6,"Inventory,Food,Cafe,Pizza,Vegeterian,",155,,https://drive.google.com/file/d/1wFyVFPU8eXno17UzpEVn6qnFH49OZJWR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/cheesecorndelight.jpg,
Cheese Burst Pizza,ProductType,7,"Inventory,Food,Cafe,Pizza,Vegeterian,",180,,https://drive.google.com/file/d/1ODzpyHsBYlJzSe7PpXjikJvkrTIfeU3n/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/CheeseBurstPizza.jpg,
